p_mtorr,Te_eV,f_ion,n_m3,lam,gam,gamma_c,gam_over_gc,t_pen_periods,t_pen_ms
31.622776601683793,2.23606797749979,1.0,1.0241975288502882e+21,9.572579916678635,0.03394809345732685,12.73700644139385,0.0026653117915524742,inf,inf
31.622776601683793,4.728708045015879,1e-06,1024197528850288.1,11.423111629170974,48342.17979726382,15.698439745666178,3079.425763353935,0.18715207006802373,0.0007486082802720949
31.622776601683793,4.728708045015879,1e-05,1.0241975288502882e+16,11.889879882237349,5237.3587333029955,16.451454875296896,318.3523143091305,0.6315012803805455,0.002526005121522182
31.622776601683793,4.728708045015879,0.0001,1.0241975288502883e+17,12.41897984498118,571.385522359988,17.308513916659013,33.01181864088538,2.169236016760024,0.008676944067040096
31.622776601683793,4.728708045015879,0.001,1.0241975288502883e+18,13.025646135540647,62.85733135864518,18.29594019601598,3.4355890260470265,8.651405791360283,0.03460562316544113
31.622776601683793,4.728708045015879,0.01,1.0241975288502882e+19,13.730893974749979,6.984816722808121,19.45029288744078,0.35911113335050476,inf,inf
31.622776601683793,4.728708045015879,0.1,1.0241975288502883e+20,14.56468407403371,0.7858859507479932,20.824094915857387,0.037739260886174075,inf,inf
31.622776601683793,4.728708045015879,1.0,1.0241975288502882e+21,15.571500617064771,0.08982936345831641,22.496014618470408,0.003993123447944499,inf,inf
31.622776601683793,10.0,1e-06,1024197528850288.1,19.31973932209094,138280.17233765617,28.841751486716724,4794.444345772208,0.42901138329385335,0.0017160455331754134
31.622776601683793,10.0,1e-05,1.0241975288502882e+16,20.05085418251913,14894.404525016776,30.100923907394673,494.8155269532367,1.4397050321869556,0.005758820128747823
31.622776601683793,10.0,0.0001,1.0241975288502883e+17,20.87179311163871,1613.9010720916403,31.522764802409636,51.197954310412264,4.8929034829380065,0.019571613931752028
31.622776601683793,10.0,0.001,1.0241975288502883e+18,21.80259644283745,176.10586509409552,33.14487438996146,5.31321564300248,18.214027278381465,0.07285610911352586
31.622776601683793,10.0,0.01,1.0241975288502882e+19,22.87018017979309,19.377447098722538,35.01811717005382,0.5533549106773051,inf,inf
31.622776601683793,10.0,0.1,1.0241975288502883e+20,24.11170023643639,2.1538381197992877,37.21326778921995,0.05787823128027521,inf,inf
31.622776601683793,10.0,1.0,1.0241975288502882e+21,25.580175413099113,0.24241775455314743,39.83221472063249,0.006085972277800025,inf,inf
56.23413251903491,0.5,1e-06,1821309377367213.0,2.437015141895671,1237.2966663241418,2.729456958923152,453.3123932506671,0.022222215120177767,8.888886048071106e-05
56.23413251903491,0.5,1e-05,1.8213093773672132e+16,2.571547492261576,137.76740766952395,2.8801331913329657,47.83369327644298,0.07689534170661351,0.00030758136682645405
56.23413251903491,0.5,0.0001,1.821309377367213e+17,2.731141117549003,15.539808724528203,3.0588780516548835,5.080231530028146,0.29385698168004565,0.0011754279267201825
56.23413251903491,0.5,0.001,1.821309377367213e+18,2.9246876010701883,1.782035517054835,3.275650113198611,0.544024989077576,inf,inf
56.23413251903491,0.5,0.01,1.821309377367213e+19,3.166231299163769,0.2088539354126407,3.546179055063422,0.0588954850191301,inf,inf
56.23413251903491,0.5,0.1,1.8213093773672133e+20,3.4795777597407795,0.025223798026906757,3.8971270909096734,0.006472408376350636,inf,inf
56.23413251903491,0.5,1.0,1.821309377367213e+21,3.909204481885192,0.0031837148536599694,4.378309019711415,0.0007271562695384656,inf,inf
56.23413251903491,1.057371263440564,1e-06,1821309377367213.0,4.075851755955952,3460.9406124675465,4.564953966670667,758.1545482684671,0.048043498808496364,0.00019217399523398547
56.23413251903491,1.057371263440564,1e-05,1.8213093773672132e+16,4.278958504777917,381.44641492396613,4.792433525351267,79.59347018715457,0.1643512658472019,0.0006574050633888076
56.23413251903491,1.057371263440564,0.0001,1.821309377367213e+17,4.515807021861025,42.484267696670614,5.057703864484348,8.399912061874355,0.5965510379657959,0.0023862041518631838
56.23413251903491,1.057371263440564,0.001,1.821309377367213e+18,4.79691005153631,4.793806914578992,5.372539257720668,0.8922795506221752,inf,inf
56.23413251903491,1.057371263440564,0.01,1.821309377367213e+19,5.138023108160654,0.5499832891210001,5.754585881139933,0.09557304391329255,inf,inf
56.23413251903491,1.057371263440564,0.1,1.8213093773672133e+20,5.56406910003194,0.06449743110780894,6.231757392035774,0.010349798146865773,inf,inf
56.23413251903491,1.057371263440564,1.0,1.821309377367213e+21,6.117377113941327,0.007796288390050577,6.851462367614287,0.001137901366415194,inf,inf
56.23413251903491,2.23606797749979,1e-06,1821309377367213.0,6.844815466358433,9760.69800687479,8.267084334223899,1180.6699450818062,0.108550884606081,0.00043420353842432404
56.23413251903491,2.23606797749979,1e-05,1.8213093773672132e+16,7.155658967689575,1066.7352739112875,8.826644874545828,120.85399255016206,0.37218867284139107,0.0014887546913655643
56.23413251903491,2.23606797749979,0.0001,1.821309377367213e+17,7.513101432439659,117.59690504060877,9.42970550753252,12.470899005983961,1.3262637891444604,0.005305055156577842
56.23413251903491,2.23606797749979,0.001,1.821309377367213e+18,7.93008512723753,13.101260629679034,10.111459622017897,1.2956844134699197,9.20304654969518,0.036812186198780725
56.23413251903491,2.23606797749979,0.01,1.821309377367213e+19,8.425217278096346,1.4788346133613477,10.907784052616949,0.1355760809187043,inf,inf
56.23413251903491,2.23606797749979,0.1,1.8213093773672133e+20,9.026416876161887,0.16974154929635143,11.867173211887136,0.014303452580124502,inf,inf
56.23413251903491,2.23606797749979,1.0,1.821309377367213e+21,9.777913573417202,0.019918185655857207,13.0641900544777,0.001524639918188447,inf,inf
56.23413251903491,4.728708045015879,1e-06,1821309377367213.0,11.534634206974673,27718.201051882916,15.87809896529889,1745.6876363134036,0.2534772269019845,0.001013908907607938
56.23413251903491,4.728708045015879,1e-05,1.8213093773672132e+16,12.015794003959572,3007.892675613426,16.65507446955224,180.5991730095393,0.8573199268871814,0.0034292797075487257
